,,,Questions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 24,doesnt matter,zebra,disagree,slightly agree,moderately disagree,slightly agree,doesnt matter,lighter,neither,slightly disagree,slightly disagree,slightly disagree,disagree,doesnt matter,smaller,slightly disagree,slightly agree,moderately disagree,slightly disagree,stop signs,doesnt matter,slightly agree,slightly disagree,slightly disagree,slightly disagree,doesnt matter,doesnt matter,slightly agree,slightly disagree,slightly agree,slightly agree,moderately disagree,defensively,further away,slightly disagree,slightly disagree,moderately disagree,slightly disagree
Participant 25,black,zebra,disagree,moderately agree,moderately disagree,slghtly agree,louder,doesnt matter,slightly agree,moderately disagree,moderately disagree,moderately disagree,slightly agree,slower,doesnt matter,agree,agree,disagree,slightly agree,stop signs,doesnt matter,agree,moderately agree,neither,moderately agree,were not,lower,agree,disagree,slightly agree,moderately disagree,agree,defensively,further away,moderately disagree,moderately disagree,slightly disahreee,strongly agree
Participant 26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
